Participant,Participant,Dictator,Dictator,Dictator,Dictator,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Public_Goods,Public_Goods,Public_Goods,Public_Goods,Coin_Tossing,Coin_Tossing,Coin_Tossing
Code,Label,Dictador,Decisión,Resultado,Payoff_Dictator,trustor,sent_amount_strategy,trustee,trust.1.player.sent_back_amount_strategy_9,trust.1.player.sent_back_amount_strategy_18,trust.1.player.sent_back_amount_strategy_27,trust.1.player.sent_back_amount_strategy_36,trust.1.player.sent_back_amount_strategy_45,trust.1.player.sent_back_amount_strategy_54,trust.1.player.sent_back_amount_strategy_63,trust.1.player.sent_back_amount_strategy_72,trust.1.player.sent_back_amount_strategy_81,trust.1.player.sent_back_amount_strategy_90,trust.1.player.sent_back_amount_strategy_99,sent_amount,sent_back_amount,Payoff_Trust,Contribution,Total Contribution,Individual Share,Payoff_Public_Goods,Num Lies,% Lies,Payoff_Coin_Tossing
1jg08cjv,3q0tbcx,1,70,70.0,70.0,0,9.0,0,,,,,,,,,,,,9.0,9.0,33.0,20,57,28.5,48.5,0,0.0,40.0
o8ci8io7,i6esewv,0,50,100.0,0.0,0,6.0,0,,,,,,,,,,,,6.0,6.0,33.0,5,74,37.0,72.0,0,0.0,40.0
24ebtdcv,bzgqtp0,0,50,50.0,50.0,0,,0,0.0,3.0,6.0,9.0,12.0,15.0,18.0,24.0,27.0,30.0,33.0,6.0,3.0,15.0,10,50,25.0,55.0,2,40.0,80.0
ahl6kygl,urf0u0b,1,50,50.0,50.0,0,0.0,0,,,,,,,,,,,,0.0,0.0,33.0,20,50,25.0,45.0,2,40.0,80.0
tweo8vul,jes5vlq,0,60,50.0,50.0,0,9.0,0,,,,,,,,,,,,9.0,0.0,24.0,10,74,37.0,67.0,0,0.0,40.0
wu5dnezw,jiwoeq0,1,50,50.0,50.0,0,12.0,0,,,,,,,,,,,,12.0,9.0,30.0,15,57,28.5,53.5,0,0.0,40.0
4f2itrab,i9jsonk,1,50,50.0,50.0,0,,0,0.0,0.0,0.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,9.0,0.0,27.0,10,40,20.0,50.0,1,20.0,60.0
oqf6b43c,ulk45f7,1,50,50.0,50.0,0,,0,3.0,6.0,9.0,9.0,12.0,15.0,15.0,18.0,18.0,21.0,21.0,12.0,9.0,27.0,19,74,37.0,58.0,0,0.0,40.0
qwd0ywkz,7k832hw,0,50,50.0,50.0,0,,0,0.0,3.0,6.0,9.0,9.0,15.0,21.0,24.0,27.0,36.0,36.0,15.0,9.0,36.0,35,88,44.0,49.0,2,40.0,80.0
ce85x7lt,p5wkg7m,0,50,60.0,40.0,0,,0,3.0,6.0,12.0,15.0,18.0,24.0,27.0,33.0,33.0,39.0,42.0,33.0,42.0,57.0,30,85,42.5,52.5,0,0.0,40.0
0alguuz6,i18n38s,0,50,50.0,50.0,0,6.0,0,,,,,,,,,,,,6.0,9.0,36.0,10,79,39.5,69.5,0,0.0,40.0
xojl2noy,twofofo,1,50,50.0,50.0,0,,0,0.0,3.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,21.0,21.0,9.0,3.0,24.0,5,55,27.5,62.5,1,20.0,60.0
0xk59a5u,iez5gqg,0,60,60.0,40.0,0,,0,3.0,9.0,15.0,18.0,30.0,36.0,39.0,42.0,36.0,45.0,45.0,6.0,9.0,9.0,9,79,39.5,70.5,2,40.0,80.0
thg5ky74,9r6ovcl,1,60,60.0,60.0,0,33.0,0,,,,,,,,,,,,33.0,42.0,42.0,40,79,39.5,39.5,0,0.0,40.0
01fogkzj,ygswzh1,1,50,50.0,50.0,0,15.0,0,,,,,,,,,,,,15.0,9.0,27.0,35,85,42.5,47.5,1,20.0,60.0
d7a72enq,es9hzfw,1,60,60.0,60.0,0,,0,3.0,6.0,6.0,9.0,9.0,12.0,12.0,12.0,15.0,18.0,21.0,15.0,9.0,36.0,5,85,42.5,77.5,2,40.0,80.0
fginflsz,if3g776,0,80,50.0,50.0,0,,0,6.0,9.0,12.0,12.0,18.0,21.0,24.0,24.0,30.0,33.0,45.0,15.0,18.0,27.0,15,88,44.0,69.0,1,20.0,20.0
6boicnsk,w2fh5yp,0,50,50.0,50.0,0,15.0,0,,,,,,,,,,,,15.0,21.0,39.0,20,79,39.5,59.5,0,0.0,40.0
3z7qgjuc,hn1fl5z,0,50,60.0,40.0,0,9.0,0,,,,,,,,,,,,9.0,3.0,27.0,8,88,44.0,76.0,0,0.0,40.0
rlqu5jbn,lwfwgu9,1,50,50.0,50.0,0,15.0,0,,,,,,,,,,,,15.0,18.0,36.0,20,55,27.5,47.5,0,0.0,40.0
nfcnw49p,xg9kktx,1,60,60.0,60.0,0,6.0,0,,,,,,,,,,,,6.0,6.0,33.0,10,55,27.5,57.5,0,0.0,40.0
kgc93jgz,qeni565,1,50,50.0,50.0,0,15.0,0,,,,,,,,,,,,15.0,9.0,27.0,30,88,44.0,54.0,1,20.0,60.0
a5oqwjpn,7sc3vz2,0,50,50.0,50.0,0,,0,3.0,15.0,18.0,21.0,21.0,24.0,33.0,30.0,42.0,42.0,45.0,15.0,21.0,24.0,20,55,27.5,47.5,0,0.0,40.0
ugtlx65x,hsvvyhl,1,50,50.0,50.0,0,,0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,27.0,30.0,39.0,45.0,6.0,6.0,12.0,15,85,42.5,67.5,2,40.0,80.0
